feature_id,coarse_cluster,fine_cluster,coarse_split_sample_jaccard,fine_split_sample_jaccard,top1_patch_support,image_support
335,C022,F029,0.6692308187484741,0.36538460850715637,1091869,196366
336,C031,F058,0.7196078300476074,0.875,3069723,327142
337,C017,F021,0.8421052694320679,0.7211538553237915,1243879,241838
338,C026,F052,0.8084795475006104,0.6666666865348816,488,308
339,C020,F027,0.925000011920929,0.9444444179534912,22931,11086
340,C013,F014,0.41479551792144775,0.7777777910232544,905,671
341,C005,F005,0.7248803377151489,0.4761905074119568,73343,29997
342,C021,F046,0.7322515249252319,0.6153846383094788,650129,152897
343,C017,F021,0.8421052694320679,0.7211538553237915,49716,20386
344,C020,F027,0.925000011920929,0.9444444179534912,95757,21107
345,C001,F031,0.8333333730697632,0.5833333730697632,48756,29851
346,C007,F007,0.7272727489471436,0.8636363744735718,2669,1676
347,C002,F002,0.026610644534230232,0.0486111119389534,5,5
348,C011,F017,0.7381818294525146,0.3523809611797333,29282,17320
349,C005,F022,0.49529778957366943,0.6363636255264282,7337,4411
350,C011,F017,0.7381818294525146,0.4940476417541504,6232,3133
351,C028,F048,0.26851850748062134,0.3690476417541504,34,22
352,C014,F055,0.5907608866691589,0.8571428656578064,9390,6370
353,C007,F007,0.7272727489471436,0.8636363744735718,150771,55290
354,C002,F002,0.7000000476837158,0.6941176652908325,45519,11937
355,C030,F050,0.5833333730697632,0.3787878751754761,3542,1810
356,C005,F022,0.7248803377151489,0.5267379879951477,283922,72389
357,C012,F013,0.4303135871887207,0.22291666269302368,3657,2006
358,C029,F049,0.75,1.0,15716,9557
359,C018,F034,0.8500000238418579,0.8333333730697632,59898,23984
360,C028,F048,0.5227272510528564,0.4702380895614624,4239,3134
361,C024,F036,0.833732008934021,0.5169172883033752,1323157,133720
362,C014,F061,0.5907608866691589,0.8999999761581421,10370,5942
363,C021,F028,0.38951441645622253,0.484649121761322,8024,5705
364,C025,F042,0.9285714626312256,0.9285714626312256,194081,71433
365,C016,F026,0.7670454978942871,0.7857142686843872,399,298
366,C002,F002,0.7000000476837158,0.6941176652908325,26182,15216
367,C024,F036,0.03311965987086296,0.04446640610694885,22,20
368,C009,F009,1.0,1.0,6547,3748
369,C015,F016,0.4579741358757019,0.3715277910232544,89575,24317
370,C013,F040,0.6372092962265015,0.3582887649536133,5617,3903
371,C021,F056,0.36357948184013367,0.09444444626569748,23,21
372,C001,F001,0.8333333730697632,0.47647058963775635,1394865,190130
373,C021,F056,0.4205087423324585,0.4238095283508301,46130,22902
374,C012,F013,0.5821428298950195,0.6174242496490479,3953,1741
375,C014,F061,0.7737153768539429,0.529411792755127,373875,107034
376,C015,F043,0.6919642686843872,0.8263888955116272,522,308
377,C023,F054,0.7857142686843872,0.8999999761581421,1158,697
378,C014,F055,0.5907608866691589,0.8571428656578064,16035,8679
379,C007,F007,0.7272727489471436,0.8636363744735718,23703,8984
380,C004,F010,0.5865384340286255,0.6891025900840759,11999,6939
381,C005,F005,0.42191141843795776,0.3717948794364929,2674,1698
382,C001,F031,0.8333333730697632,0.5833333730697632,57512,31488
383,C010,F011,0.6108695268630981,0.5333333611488342,8630,3250
384,C031,F060,0.7196078300476074,0.3611111342906952,15,14
385,C016,F026,0.7670454978942871,0.7857142686843872,20930,9607
386,C027,F045,0.5791666507720947,0.75,754322,156978
387,C029,F049,0.75,1.0,79282,47557
388,C013,F020,0.376086950302124,0.65625,11826,5891
389,C013,F020,0.09101232886314392,0.5909091234207153,14507,6888
390,C005,F022,0.49529778957366943,0.6363636255264282,8866,5449
391,C028,F048,0.5227272510528564,0.761904776096344,47466,31343
392,C009,F009,1.0,1.0,49036,16983
393,C004,F004,0.19090908765792847,0.8166666626930237,80779,25473
394,C005,F022,0.49529778957366943,0.6363636255264282,99398,42667
395,C000,F038,0.7823529243469238,0.557692289352417,243633,96869
396,C003,F037,0.6820175647735596,0.47549018263816833,20073,11115
397,C014,F015,0.7737153768539429,0.9198718070983887,22452,9585
398,C014,F015,0.7737153768539429,0.9198718070983887,22742,11110
399,C014,F015,0.7737153768539429,0.9198718070983887,45529,18604
400,C031,F060,0.7196078300476074,0.4595959782600403,23957,11067
401,C014,F015,0.7737153768539429,0.9198718070983887,92,55
402,C028,F048,0.5227272510528564,0.761904776096344,350,297
403,C013,F040,0.6372092962265015,0.516339898109436,6230,2949
404,C010,F011,0.6108695268630981,0.22777777910232544,83427,35277
405,C026,F052,0.10178571939468384,0.22564102709293365,73,28
406,C024,F036,0.833732008934021,0.7142857313156128,18819,10129
407,C002,F002,0.7000000476837158,0.4588235318660736,21785,7807
408,C012,F013,0.2348039150238037,0.44034090638160706,1,1
409,C004,F010,0.5865384340286255,0.6891025900840759,3124,2144
410,C022,F029,0.6692308187484741,0.36538460850715637,27488,9455
411,C009,F009,1.0,1.0,5160,3087
412,C023,F033,0.5512422323226929,1.0,151422,50814
413,C008,F047,0.7809523940086365,0.3083333373069763,324464,89321
414,C020,F051,0.5113636255264282,0.5333333611488342,18,14
415,C010,F035,0.6108695268630981,0.4141414165496826,164,104
416,C013,F063,0.01852487027645111,0.10476191341876984,8,8
417,C008,F047,0.7809523940086365,0.4305555522441864,38892,12051
418,C004,F010,0.5865384340286255,0.6891025900840759,1500187,229384
419,C013,F018,0.6372092962265015,0.06798245757818222,678686,159389
420,C014,F061,0.5907608866691589,0.8999999761581421,14707,6493
421,C004,F010,0.5865384340286255,0.685606062412262,11721,6526
422,C015,F016,0.4419642984867096,0.36868688464164734,2317,1848
423,C019,F025,0.6136363744735718,0.8136363625526428,127,106
424,C021,F028,0.7322515249252319,0.75,21168,12290
425,C023,F033,0.5512422323226929,1.0,9049,3598
426,C002,F002,0.7000000476837158,0.6941176652908325,79481,32057
427,C027,F045,0.5791666507720947,0.75,9365,3921
428,C001,F031,0.5151515007019043,0.3690476417541504,8,6
429,C026,F052,0.8084795475006104,0.6666666865348816,522285,110040
430,C011,F041,0.4989473521709442,0.6071428656578064,161725,58682
431,C009,F009,1.0,1.0,2514,1390
432,C014,F061,0.5907608866691589,0.8999999761581421,8395,6083
433,C011,F012,0.7381818294525146,0.3413461446762085,75811,22674
434,C005,F062,0.7248803377151489,0.5,42870,20215
435,C008,F047,0.7809523940086365,0.4305555522441864,2901,1210
436,C023,F054,0.7857142686843872,0.8999999761581421,999267,181876
437,C027,F057,0.0635080635547638,0.1825396865606308,2778240,237709
438,C031,F058,0.7196078300476074,0.875,257326,86521
439,C000,F038,0.7823529243469238,0.557692289352417,56411,38247
440,C005,F062,0.7248803377151489,0.5,5142,2229
441,C024,F036,0.833732008934021,0.7142857313156128,32865,16206
442,C022,F029,0.6692308187484741,0.4375,617297,144145
443,C026,F044,0.8084795475006104,0.8888888955116272,3457,2462
444,C015,F043,0.6919642686843872,0.8263888955116272,7776,3859
445,C021,F056,0.4205087423324585,0.6071428656578064,1532,1004
446,C013,F063,0.01835016906261444,0.125,17233,11207
447,C025,F042,0.9285714626312256,0.9285714626312256,34131,18219
448,C003,F037,0.6165413856506348,0.7803030014038086,12596,6268
449,C009,F009,1.0,1.0,525296,96321
