dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D318,D354,586,0.0015675945749904449,2.0287328723997344
D451,D498,2831,0.007494837036163463,2.0147973497664498
D223,D426,552,0.0014647619067801527,2.0144536350124507
D057,D395,315,0.0008332816504836918,1.9897760299103022
D344,D354,379,0.0009982175386635279,1.988512330558425
D192,D298,286,0.0007651820100936004,1.9879746901710378
D341,D434,190,0.000501177591587503,1.986943529592684
D124,D235,991,0.0025994606307447074,1.9849018300068746
D184,D278,218,0.0005772217390488605,1.9837158248822968
D179,D235,942,0.0024751274403535103,1.9833962611045963
D124,D301,195,0.0005101428579332139,1.9831108969341649
D047,D216,411,0.0010826418742330805,1.9830315947505974
D005,D191,445,0.0011729673232048247,1.9807706512810161
D341,D466,236,0.0006273257040284072,1.9786558493795088
D143,D498,1651,0.004353704922928102,1.9723695196492554
D155,D344,221,0.0005812695473369276,1.9665538245151883
D038,D148,626,0.0016445146062066562,1.9616027992785814
D047,D124,707,0.0018577116114227355,1.960534175554562
D055,D456,597,0.0015868540971180746,1.954456528329646
D319,D392,1374,0.0036016578605941726,1.9540087566639754
D093,D103,236,0.0006211407871231986,1.9475150497690983
D067,D084,404,0.0010645265314809848,1.929799819384556
D292,D397,294,0.0007733900316073358,1.9291653791822436
D190,D292,830,0.002198505835569122,1.9268215039474768
D136,D499,281,0.0007398900340752167,1.9228157770919252
D148,D308,1001,0.0026753079728040366,1.9208672514753424
D093,D369,410,0.0010829976047881463,1.920650566812913
D354,D456,784,0.0020809057520118747,1.9192141036313703
D290,D295,225,0.0005958010427331383,1.9160755243956604
D048,D407,442,0.0011614133682106417,1.9160277347291883
D278,D397,386,0.0010170292625904698,1.9141959498825827
D002,D144,1300,0.0034765351615691172,1.9102987337645334
D140,D210,234,0.0006235341334360519,1.9089001055486186
D090,D130,853,0.0022576270326354867,1.905138119742422
D316,D322,345,0.0009152032988949537,1.8961983876323634
D115,D343,436,0.0011491686088943424,1.8935017204877873
D042,D397,286,0.0007527116546594328,1.893124868113597
D055,D132,452,0.0011912930800874538,1.8925985929435476
D025,D311,241,0.0006475129521279786,1.8915937686524948
D098,D486,392,0.0010300682176739798,1.8908131192762583
D174,D191,190,0.0004982686088415348,1.8893977566182223
D285,D356,204,0.0005415923305983145,1.883962485340134
D180,D486,833,0.0021867788827104836,1.8833355825029487
D395,D396,213,0.0005630917953506792,1.8797165128161546
D093,D344,430,0.0011369830600170656,1.8735840184553005
D049,D130,673,0.0017881203780434195,1.8728539109601356
D056,D090,1272,0.0033576924778595013,1.8721588180267608
D265,D499,864,0.002277857787705377,1.8716177656661601
D067,D265,1151,0.0030318353598080255,1.8654179942808862
D274,D395,604,0.001593328249694089,1.8612772367636394
D090,D344,1955,0.0051612844156215965,1.8600481661749764
D130,D318,444,0.0011857826836396065,1.8586462634810086
D124,D173,452,0.0011855199229227212,1.8573394593409882
D020,D191,1620,0.004255233456500707,1.8564116482343258
D151,D180,360,0.0009441205624404125,1.8524161500926664
D049,D298,1723,0.004595444990924312,1.8503237317592047
D115,D251,452,0.0011965726538190264,1.8501398213194837
D042,D057,220,0.0005825787508594519,1.8485130936175207
D154,D328,601,0.0015848533044360174,1.8469404049585705
D130,D325,1420,0.0037809005243041862,1.8459166386240589
D042,D274,461,0.0012152745391193365,1.8456041822773757
D175,D298,1532,0.004104051281606284,1.8439606669416215
D027,D429,216,0.000572909461108317,1.835135066290831
D093,D341,297,0.0007835204822159141,1.834666772232824
D233,D434,398,0.0010446510583287157,1.8330572528503655
D007,D429,1189,0.0031484268995525715,1.8287058397327496
D354,D499,706,0.0018658464807145294,1.823255493292152
D148,D406,238,0.0006254628133672384,1.8219809735617987
D313,D498,227,0.0006014786861067048,1.8213581923723365
D223,D274,228,0.000601466837309891,1.8175240377580633
D061,D093,442,0.0011725353755089405,1.8158049358209591
D180,D407,995,0.0026169841032812943,1.8154890983568748
D344,D498,513,0.0013506523866946892,1.814127606807719
D130,D456,614,0.0016430605867213974,1.8110144015989218
D426,D456,1059,0.0028249895088771552,1.8097145109082913
D084,D451,640,0.0016875596855574484,1.8093299695203662
D190,D395,995,0.0026222224706498936,1.8090583856936202
D053,D266,706,0.0019050716920289209,1.806059714072827
D025,D175,5420,0.01462808145218671,1.8046752508992114
D130,D393,243,0.0006421536790511404,1.7954005404574271
D212,D427,251,0.0006651273061561112,1.7920641399423627
D353,D407,225,0.0005916613618287443,1.788811673540707
D140,D265,298,0.0007885392518073055,1.7882857253364821
D221,D265,1066,0.0028022565693149068,1.7852514582398802
D207,D454,466,0.0012282087008766908,1.7814483160665704
