dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D167,D434,867,0.0022963576541897256,1.583957199232922
D191,D404,200,0.0005247892270533199,1.5817299963444835
D215,D364,454,0.001194456890550606,1.5817020158752453
D143,D404,1301,0.0034286089075456095,1.57837528288174
D098,D290,304,0.0008044637982609694,1.577958295776133
D112,D395,803,0.002129575614125288,1.5778908688921263
D082,D354,324,0.0008604562795953949,1.577756762213561
D049,D318,1964,0.005246851886776442,1.5769434061584184
D049,D115,1730,0.0045686117252193344,1.5767480944499939
D067,D224,727,0.0019134973871404997,1.5766670834223049
D167,D369,2243,0.005949114674249251,1.5749324855971616
D136,D449,553,0.001453526940840988,1.5736490485124695
D020,D300,2086,0.0054857614311850655,1.5726732347206431
D104,D392,219,0.0005742415832557677,1.5720858213911306
D154,D373,547,0.0014547303679689773,1.5719713430750692
D278,D456,3174,0.008521296698068287,1.5711576308838804
D177,D394,365,0.0009563850150916904,1.5683961677273521
D195,D456,332,0.0008924326688951647,1.5666207394587293
D144,D447,236,0.0006211094292074159,1.5664884427796018
D138,D298,4772,0.01268032393971336,1.5664048688663497
D167,D354,1199,0.0031952654440266745,1.5663327054703893
D049,D303,709,0.0018780624441595976,1.5660908756446548
D164,D434,838,0.00222333370899051,1.56576626650023
D074,D356,214,0.0005677673722743332,1.5631949424741114
D103,D344,293,0.0007732925218347841,1.5609352470333941
D084,D167,477,0.0012591591852464696,1.5577338139720467
D179,D216,7988,0.020991017665444433,1.557417934399126
D393,D461,404,0.0010637970450231488,1.557269821176557
D020,D407,651,0.0017122472387681648,1.555486088922557
D369,D505,257,0.0006839293606569522,1.5549957463417845
D098,D191,785,0.0020644067054581307,1.554434469114937
D215,D292,399,0.001069809408262077,1.5536599613386086
D132,D430,1516,0.004014854769387984,1.5487861900440112
D090,D457,449,0.0011876106069305908,1.5468802938377288
D136,D167,444,0.0011666246010338306,1.546745123049715
D056,D179,1757,0.004609570693319328,1.5465797108231785
D025,D356,6555,0.01754201099528052,1.5449853564438827
D319,D399,929,0.0024525822726250627,1.544913518499521
D021,D056,245,0.0006420127330996036,1.5431750513934117
D056,D216,1055,0.002768205642603209,1.5431623939672459
D056,D265,212,0.0005576636062365115,1.5414387631236959
D002,D141,4146,0.011028012940364398,1.5388381878314181
D135,D476,195,0.0005135147717906847,1.5364059036300037
D339,D474,569,0.0014944150004561334,1.5322084351491723
