city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
Lagos,most_similar,1,Johannesburg,0.9375555720595358,0.1795562306537067
Lagos,most_similar,2,KualaLumpur,0.9353195366829486,0.183643306874366
Lagos,most_similar,3,London,0.9207073414803711,0.19551701687339115
Lagos,most_similar,4,Jakarta,0.9193452507020553,0.1901411361926088
Lagos,most_similar,5,Manila,0.9167050255970044,0.19307251738211548
Lagos,most_different,1,Osaka,0.8321061496145745,0.263362844329259
Lagos,most_different,2,NewYorkCity,0.8580446427478406,0.254946960975291
Lagos,most_different,3,LosAngeles,0.8626188466298662,0.25708686434562805
Lagos,most_different,4,Seoul,0.8644953168070602,0.23939088240372827
Lagos,most_different,5,Vienna,0.8675776425593672,0.2361481431050569
Lima,most_similar,1,Bogota,0.978125783193245,0.11154608760465123
Lima,most_similar,2,MexicoCity,0.9744016320785591,0.11854962650632467
Lima,most_similar,3,BuenosAires,0.9741440355975503,0.1314116348976999
Lima,most_similar,4,SaoPaulo,0.9671550712673842,0.1312996260028956
Lima,most_similar,5,CapeTown,0.9590542675212647,0.16511950045784304
Lima,most_different,1,Amsterdam,0.8681247151903303,0.2290233320011496
Lima,most_different,2,Dhaka,0.8726856033585704,0.22101476484945337
Lima,most_different,3,Osaka,0.9033725171271318,0.22085579776210953
Lima,most_different,4,Singapore,0.9034671874734185,0.21217003524407183
Lima,most_different,5,KualaLumpur,0.9044643471296363,0.19537625144125492
Manila,most_similar,1,Bangkok,0.9927968986424648,0.058336966296427935
Manila,most_similar,2,Jakarta,0.9821353634129808,0.08700983613475854
Manila,most_similar,3,SaoPaulo,0.9797758700780462,0.09912863669672638
Manila,most_similar,4,MexicoCity,0.9703833286456077,0.10815760193521844
Manila,most_similar,5,Taipei,0.9698271697035719,0.1179773161900689
Manila,most_different,1,Lagos,0.9167050255970044,0.19307251738211548
Manila,most_different,2,Amsterdam,0.9177964299125607,0.193199439584963
Manila,most_different,3,LosAngeles,0.9195569035124901,0.2007900114042434
Manila,most_different,4,Osaka,0.9367762816691475,0.18471393433112365
Manila,most_different,5,Toronto,0.9388351376246379,0.18593217686119123
Moscow,most_similar,1,KualaLumpur,0.9672541994318647,0.13199546325745362
Moscow,most_similar,2,Toronto,0.9646458503289116,0.14283121407102348
Moscow,most_similar,3,Vienna,0.9639966574341614,0.13995466381867952
Moscow,most_similar,4,Singapore,0.9636662320518856,0.1464518528167689
Moscow,most_similar,5,Paris,0.9628789543269222,0.13331113427781885
Moscow,most_different,1,Lagos,0.8977241516136619,0.21607383583421025
Moscow,most_different,2,CapeTown,0.9076533348518927,0.17759766038794544
Moscow,most_different,3,Lima,0.9082658852200916,0.18718206214488392
Moscow,most_different,4,LosAngeles,0.9184060515839748,0.18177398975799797
Moscow,most_different,5,Osaka,0.9246696494609592,0.19495827323880027
Singapore,most_similar,1,KualaLumpur,0.9793915762857287,0.10098684221174525
Singapore,most_similar,2,Taipei,0.9700131058665477,0.12964760990046525
Singapore,most_similar,3,HongKong,0.9661770879915642,0.14215340818097688
Singapore,most_similar,4,Moscow,0.9636662320518856,0.1464518528167689
Singapore,most_similar,5,Bangkok,0.9563624692340891,0.15274286831427303
Singapore,most_different,1,Lagos,0.8965622619873357,0.23281816373906644
Singapore,most_different,2,Lima,0.9034671874734185,0.21217003524407183
Singapore,most_different,3,NewDelhi,0.9112733192783481,0.21498872942470043
Singapore,most_different,4,Bogota,0.9136887333048166,0.21276613588184282
Singapore,most_different,5,Osaka,0.9140710639077537,0.20982162617921574
CapeTown,most_similar,1,Johannesburg,0.9811770254547889,0.0834184857500721
CapeTown,most_similar,2,Sydney,0.9780900284309602,0.11452380961369509
CapeTown,most_similar,3,LosAngeles,0.9728847323506952,0.12586173481745278
CapeTown,most_similar,4,MexicoCity,0.9708001319583416,0.140279523956597
CapeTown,most_similar,5,SaoPaulo,0.9692640509668913,0.1392490159019716
CapeTown,most_different,1,Dhaka,0.8423704027569113,0.24451122304285683
CapeTown,most_different,2,Amsterdam,0.8585776873761832,0.22397314126532103
CapeTown,most_different,3,Lagos,0.8891608147071761,0.21564384462710945
CapeTown,most_different,4,Jakarta,0.8924798500313722,0.20886878922620575
CapeTown,most_different,5,Osaka,0.9014851389700772,0.2044575990122051
Johannesburg,most_similar,1,CapeTown,0.9811770254547889,0.0834184857500721
Johannesburg,most_similar,2,Sydney,0.9720317210300676,0.12904781848666405
Johannesburg,most_similar,3,SaoPaulo,0.9652710229427385,0.14889887704683913
Johannesburg,most_similar,4,MexicoCity,0.9628567419560782,0.14814700042962636
Johannesburg,most_similar,5,LosAngeles,0.9612188306906906,0.1495616274485916
Johannesburg,most_different,1,Dhaka,0.8698972817541267,0.22821345709907867
Johannesburg,most_different,2,Osaka,0.8877172431823644,0.2222648819455583
Johannesburg,most_different,3,Amsterdam,0.8961159350730397,0.20237070916400313
Johannesburg,most_different,4,Jakarta,0.9148801945230746,0.19283582964116788
Johannesburg,most_different,5,NewDelhi,0.916562421055153,0.19808237427404332
Seoul,most_similar,1,Taipei,0.9850624866437646,0.09314449379010323
Seoul,most_similar,2,HongKong,0.9805491461636752,0.10093178128483411
Seoul,most_similar,3,Osaka,0.9791212312163443,0.11858861940527905
Seoul,most_similar,4,Vienna,0.9773955672523118,0.1195033232129197
Seoul,most_similar,5,Paris,0.974515992347582,0.12452875529908354
Seoul,most_different,1,Lagos,0.8644953168070602,0.23939088240372827
Seoul,most_different,2,Johannesburg,0.9182114851612694,0.19222776952600118
Seoul,most_different,3,Amsterdam,0.9189476431403507,0.19081508752919352
Seoul,most_different,4,Dhaka,0.9210563572533947,0.19192063546627977
Seoul,most_different,5,CapeTown,0.9252008756615613,0.17600889867300176
Taipei,most_similar,1,Seoul,0.9850624866437646,0.09314449379010323
Taipei,most_similar,2,HongKong,0.9791728847237446,0.10561135020354707
Taipei,most_similar,3,Bangkok,0.9735235188069958,0.10761886594264898
Taipei,most_similar,4,Singapore,0.9700131058665477,0.12964760990046525
Taipei,most_similar,5,Manila,0.9698271697035719,0.1179773161900689
Taipei,most_different,1,Lagos,0.8829248373062024,0.22360814737224458
Taipei,most_different,2,Amsterdam,0.9250754884305188,0.186068306852225
Taipei,most_different,3,Lima,0.9281834072699526,0.17864503370114806
Taipei,most_different,4,Johannesburg,0.9347358407226495,0.16895885541862188
Taipei,most_different,5,CapeTown,0.9353231754335997,0.16039379454514183
Bangkok,most_similar,1,Manila,0.9927968986424648,0.058336966296427935
Bangkok,most_similar,2,Jakarta,0.9759425867429887,0.09757806070033909
Bangkok,most_similar,3,Taipei,0.9735235188069958,0.10761886594264898
Bangkok,most_similar,4,SaoPaulo,0.9710358670196808,0.12300766852002044
Bangkok,most_similar,5,KualaLumpur,0.96948543945624,0.1099167056850991
Bangkok,most_different,1,Lagos,0.9166914771155898,0.1981617298161327
Bangkok,most_different,2,Amsterdam,0.9178170186766164,0.19504306651783695
Bangkok,most_different,3,LosAngeles,0.9277973155067207,0.19507523806699542
Bangkok,most_different,4,Osaka,0.9355702384370413,0.18051532754160676
Bangkok,most_different,5,London,0.9390466741678869,0.18821798424085523
Istanbul,most_similar,1,Paris,0.9864638491453511,0.089809577811021
Istanbul,most_similar,2,Vienna,0.9807768712678665,0.0914760138680804
Istanbul,most_similar,3,Seoul,0.9728207520872151,0.12226716424536115
Istanbul,most_similar,4,Bogota,0.9708641617735971,0.13287188051750007
Istanbul,most_similar,5,NewDelhi,0.9647803069740314,0.14688814558473967
Istanbul,most_different,1,Lagos,0.8739138873538812,0.22282734509554822
Istanbul,most_different,2,Dhaka,0.8969024571400469,0.20803723737594004
