dimension_id,available_top1_count,available_top3_count,umap_fit_top1_count,umap_fit_top3_count,high_response_candidate_pool,selected_high_response_representatives,representative_city_count,target_count,quota_satisfied
D359,958,2651,162,426,2000,380,30,100,True
D360,1125,2872,229,495,2000,400,27,100,True
D361,491,2024,93,293,2000,365,27,100,True
D362,405,1479,98,260,2000,379,29,100,True
D363,898,2444,188,436,2000,382,24,100,True
D364,782,2436,134,394,2000,391,29,100,True
D365,705,2032,135,347,2000,377,29,100,True
D366,498,1753,88,273,2000,377,28,100,True
D367,542,1768,120,312,2000,385,30,100,True
D368,339,1346,86,266,2000,392,28,100,True
D369,436,1619,92,256,2000,343,28,100,True
D370,828,2561,141,414,2000,382,28,100,True
D371,615,1961,117,330,2000,362,28,100,True
D372,1107,3070,177,518,2000,408,29,100,True
D373,693,2203,145,357,2000,370,26,100,True
D374,1550,3918,239,625,2000,379,28,100,True
D375,531,1721,123,301,2000,366,29,100,True
D376,905,2761,127,413,2000,356,29,100,True
D377,368,1277,101,256,2000,387,27,100,True
D378,979,2905,181,476,2000,392,28,100,True
D379,1147,2900,167,471,2000,380,30,100,True
D380,637,2071,131,360,2000,379,29,100,True
D381,715,2240,127,365,2000,351,26,100,True
D382,623,2019,99,337,2000,367,29,100,True
D383,1431,3916,226,633,2000,389,26,100,True
D384,767,2263,152,383,2000,373,29,100,True
D385,774,2311,150,366,2000,343,30,100,True
D386,436,1562,100,268,2000,373,26,100,True
D387,1008,2846,144,385,2000,316,27,100,True
D388,722,2257,101,353,2000,399,30,100,True
D389,1370,3463,215,569,2000,394,24,100,True
D390,824,2330,147,380,2000,375,30,100,True
D391,296,1199,64,200,2000,365,29,100,True
D392,723,2376,131,359,2000,351,26,100,True
D393,595,2230,103,369,2000,410,28,100,True
D394,458,1685,101,276,2000,365,27,100,True
D395,543,1916,89,303,2000,368,25,100,True
D396,1037,2712,130,419,2000,379,28,100,True
D397,737,2151,159,362,2000,391,28,100,True
D398,409,1491,78,246,2000,348,27,100,True
D399,345,1329,57,219,2000,364,29,100,True
D400,1041,3068,179,497,2000,360,30,100,True
D401,749,2371,101,363,2000,363,24,100,True
D402,586,1889,72,278,2000,354,28,100,True
D403,1007,2793,184,505,2000,422,25,100,True
D404,770,2407,156,417,2000,408,27,100,True
D405,662,2044,97,355,2000,388,29,100,True
D406,420,1658,50,227,2000,334,29,100,True
D407,756,2603,119,377,2000,346,28,100,True
D408,1268,3427,185,529,2000,347,27,100,True
D409,615,2002,92,315,2000,340,28,100,True
D410,1183,3117,228,499,2000,367,26,100,True
D411,1059,3051,134,446,2000,362,28,100,True
D412,413,1389,87,236,2000,370,29,100,True
D413,1257,3349,191,492,2000,372,27,100,True
D414,1629,4225,235,683,2000,415,30,100,True
D415,1025,2437,183,397,2000,348,30,100,True
D416,496,1605,74,277,2000,392,30,100,True
D417,1538,3738,191,572,2000,328,29,100,True
D418,1089,2969,184,466,2000,347,26,100,True
D419,764,2336,117,373,2000,385,30,100,True
D420,1597,3453,239,546,2000,373,28,100,True
D421,459,1715,95,310,2000,388,27,100,True
D422,921,2799,144,392,2000,338,30,100,True
D423,446,1621,96,277,2000,376,28,100,True
D424,612,1955,63,253,2000,339,30,100,True
D425,526,1839,73,305,2000,384,29,100,True
D426,1009,2809,204,496,2000,393,28,100,True
D427,924,2537,165,396,2000,360,25,100,True
D428,1355,3578,201,590,2000,382,28,100,True
D429,803,2828,131,422,2000,324,29,100,True
D430,331,1385,44,207,2000,374,29,100,True
D431,789,2307,102,359,2000,365,28,100,True
D432,604,1904,112,297,2000,366,30,100,True
D433,1035,2795,157,453,2000,424,29,100,True
D434,673,2028,134,346,2000,365,29,100,True
D435,615,2199,84,294,2000,323,29,100,True
D436,1218,3094,182,470,2000,353,28,100,True
D437,176,892,44,163,2000,351,27,100,True
D438,280,1284,42,200,2000,339,28,100,True
D439,662,2185,91,346,2000,359,28,100,True
D440,82,442,31,105,2000,356,29,100,True
D441,431,1542,54,247,2000,323,28,100,True
D442,556,1817,119,320,2000,362,30,100,True
D443,779,2399,116,326,2000,336,27,100,True
D444,684,2049,71,304,2000,361,30,100,True
D445,879,2548,129,423,2000,401,30,100,True
D446,788,2251,103,347,2000,351,30,100,True
D447,611,2009,98,301,2000,359,29,100,True
D448,911,2462,128,366,2000,347,27,100,True
D449,1337,3501,259,609,2000,406,25,100,True
D450,499,1843,104,323,2000,400,23,100,True
D451,665,2275,103,349,2000,370,28,100,True
D452,1277,3325,181,493,2000,342,28,100,True
D453,1300,3326,184,544,2000,379,29,100,True
D454,904,2773,123,424,2000,340,29,100,True
D455,930,2747,131,436,2000,366,29,100,True
D456,133,656,20,103,2000,373,28,100,True
D457,449,1588,56,269,2000,406,30,100,True
D458,700,2356,113,367,2000,358,27,100,True
D459,695,2193,111,343,2000,371,28,100,True
D460,437,1570,96,290,2000,381,24,100,True
D461,1474,3656,231,608,2000,398,27,100,True
D462,158,870,42,164,2000,377,26,100,True
D463,312,1193,84,231,2000,358,28,100,True
D464,644,1968,92,305,2000,359,30,100,True
D465,826,2339,108,343,2000,372,30,100,True
D466,655,2087,115,346,2000,342,29,100,True
D467,609,1915,87,278,2000,354,30,100,True
D468,633,2004,124,343,2000,408,28,100,True
D469,949,2682,165,444,2000,360,26,100,True
D470,414,1413,45,227,2000,414,29,100,True
D471,557,1897,87,295,2000,352,29,100,True
D472,373,1562,58,236,2000,350,26,100,True
D473,484,1740,106,351,2000,437,24,100,True
D474,499,1800,95,299,2000,388,30,100,True
D475,938,2660,197,441,2000,404,26,100,True
D476,309,1197,73,217,2000,346,28,100,True
D477,610,2045,77,323,2000,389,29,100,True
D478,647,2162,113,359,2000,381,29,100,True
D479,1289,3518,204,569,2000,406,28,100,True
D480,570,1861,96,309,2000,351,24,100,True
D481,714,2311,104,365,2000,346,28,100,True
D482,1863,4478,262,719,2000,381,30,100,True
D483,1161,2810,181,453,2000,373,27,100,True
D484,417,1499,80,254,2000,390,29,100,True
D485,1248,3237,231,532,2000,396,24,100,True
D486,928,2922,134,440,2000,367,25,100,True
D487,547,1940,64,277,2000,333,29,100,True
D488,479,1660,88,286,2000,374,28,100,True
D489,538,1632,66,269,2000,395,29,100,True
D490,647,2098,106,322,2000,376,30,100,True
D491,726,2129,143,340,2000,364,27,100,True
D492,879,2480,126,372,2000,331,29,100,True
D493,460,1593,72,235,2000,351,28,100,True
D494,941,2732,193,489,2000,418,22,100,True
D495,296,1203,58,223,2000,368,30,100,True
D496,1956,4557,288,689,2000,344,24,100,True
D497,454,1538,78,251,2000,357,27,100,True
D498,840,2792,109,411,2000,368,29,100,True
D499,891,2532,153,415,2000,397,30,100,True
D500,568,1991,70,308,2000,410,28,100,True
D501,736,2268,155,407,2000,400,24,100,True
D502,1696,4277,248,700,2000,373,24,100,True
D503,327,1162,38,151,2000,322,30,100,True
D504,1410,3463,199,535,2000,352,29,100,True
D505,122,586,21,87,2000,358,29,100,True
D506,1761,4001,237,587,2000,336,26,100,True
D507,434,1563,84,248,2000,344,29,100,True
D508,715,2449,138,426,2000,428,28,100,True
D509,532,1814,88,268,2000,348,22,100,True
D510,488,1701,49,240,2000,346,28,100,True
D511,1183,2889,199,498,2000,415,26,100,True
