city_key,city,element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,visual_distance,pair_stability,city_images,rest_images,city_n11,city_n10,city_n01,city_n00,rest_n11,rest_n10,rest_n01,rest_n00,city_expected,city_pearson_residual,global_pearson_residual,delta_residual_vs_global,requested_city_score,city_log_odds,rest_log_odds,delta_log_odds,delta_log_odds_se,z_city_vs_rest,p_value_upper,city_atypicality_index,q_value_within_city,q_value_global_bh,passes_city_support,significant_city_specific
Indonesia/Jakarta,Jakarta,F024,F027,road_edge,car_top_heat,C018,C020,False,0.9508684863523573,0.6785400913938464,12767,366051,74,171,2327,10195,2385,6693,89913,267060,46.075428839978066,4.113881894045331,2.659379185777722,1.4545027082676092,1.383040788605826,0.6433675750830997,0.05689896716700362,0.5864686079160961,0.1427056932352355,4.109637076282329,1.9814071343501958e-05,0.5576545175023524,0.00036313788934999954,0.0004570385335068644,True,True
Indonesia/Jakarta,Jakarta,F038,F053,red-yellow hotspot,road_marking,C000,C030,False,0.39950372208436724,0.523303658319769,12767,366051,154,63,4970,7580,842,3056,81002,281151,87.0923474582909,7.169449245995227,1.6687051396891255,5.500744106306102,2.197567744702934,1.3112129123085907,-0.044238435681660915,1.3554513479902517,0.15518906259578027,8.734193797669782,1.2270003391341116e-18,0.5415078586263785,1.3019119387865102e-16,2.255592112791218e-16,True,True
Indonesia/Jakarta,Jakarta,F038,F042,red-yellow hotspot,Red-yellow glow street,C000,C025,False,0.7270471464019851,0.7023557330057508,12767,366051,89,128,3575,8975,592,3306,62254,299899,62.27680739406282,3.386297980494519,-1.5432339733755693,4.929531953870088,3.584002140158649,0.5587033375682093,-0.147078037462973,0.7057813750311823,0.14613684323956883,4.829592314883677,6.840643768630307e-07,0.5131363347000903,1.863613221291716e-05,2.2100541406344068e-05,True,True
Indonesia/Jakarta,Jakarta,F043,F045,tree_shadows,underpass glow,C015,C027,False,0.6590570719602977,0.7219280510688898,12767,366051,59,222,2290,10196,2311,13798,80847,269095,51.701182736743164,1.0150846288646935,-21.859124759775565,22.87420938864026,15.075409463084002,0.17432360075089426,-0.584161555057574,0.7584851558084682,0.14952237208408645,5.072720190540592,1.9608447048660765e-07,0.49988500591247925,6.176660820328141e-06,7.059040937517875e-06,True,True
Indonesia/Jakarta,Jakarta,F029,F035,electric_bike_parking,small alley entrance,C022,C010,False,0.820347394540943,0.35771976193268873,12767,366051,1169,3388,2117,6093,14225,107042,48122,196662,1172.891203885016,-0.11362008823649881,-43.38651303746355,43.27289294922705,35.49880498514755,-0.006824556814586395,-0.6104506047225915,0.6036260479080051,0.04349770053141945,13.87719443863455,4.354322433720145e-44,0.4951830556783784,1.7556628052759624e-41,4.968856996064044e-41,True,True
Indonesia/Jakarta,Jakarta,F033,F045,zebra_crossing,underpass glow,C023,C027,False,0.9583126550868486,0.8437605212579944,12767,366051,461,1612,1888,8806,8367,33954,74791,248939,381.41121641732593,4.075258264675652,-11.914085044976519,15.98934330965217,15.322790040167911,0.288648227292818,-0.19816058608716333,0.4868088133799814,0.05997019492422972,8.117512607638638,2.3791769370613105e-16,0.46651504646984815,2.2840098595788582e-14,3.330847711885835e-14,True,True
Indonesia/Jakarta,Jakarta,F044,F045,road_and_buildings,underpass glow,C026,C027,False,0.8650124069478908,0.7662401872875486,12767,366051,112,475,2237,9943,3318,17768,79840,265125,108.0021148272891,0.38469291365022923,-20.90328410470195,21.28797701835218,18.414364239696205,0.05014623985957537,-0.47774194879231524,0.5278881886518906,0.10914829821688847,4.8364307760705945,6.609563966035309e-07,0.4566298326651341,1.825326158291395e-05,2.1433035112687897e-05,True,True
Indonesia/Jakarta,Jakarta,F012,F058,bamboo,shaded alley,C011,C031,False,0.9052109181141439,0.49172800523425647,12767,366051,228,377,2467,9695,14426,12156,152801,186668,127.71011200751938,8.874512457499964,22.267726950129692,-13.393214492629728,0.0,0.8664220096602161,0.37139740996647486,0.49502459969374124,0.0877340429356199,5.642332019932048,8.38810923949254e-09,0.4481016723778581,3.7578729392926574e-07,3.9479598973113525e-07,True,True
Indonesia/Jakarta,Jakarta,F004,F030,highlighted_buildings,stone_wall_and_shadows,C004,C012,False,0.6208436724565757,0.5376798777070703,12767,366051,57,1352,235,11123,1002,34295,9276,321478,32.22589488525104,4.364107931455672,1.0876434286678645,3.2764645027878077,2.0341722545843908,0.6971792901093841,0.012929076897548198,0.6842502132118359,0.1536373477684516,4.453671084214994,4.220719286634754e-06,0.4248124152496311,9.350516573467762e-05,0.0001147276864969303,True,True
Indonesia/Jakarta,Jakarta,F025,F034,shaded alley,red_door_street,C019,C018,False,0.745409429280397,0.7680781927203577,12767,366051,91,589,1177,10910,549,16192,13958,335352,67.53661784287617,2.8550976084745634,-3.17280318428656,6.027900792761123,4.493254089690922,0.3633963337046608,-0.20420110150191298,0.5675974352065738,0.12458909419248039,4.555755372373767,2.6098828126442445e-06,0.4230924802383493,6.315161280497214e-05,7.480839455389759e-05,True,True
