sample_id,archetype_id,feature_type,rank,feature_id,value,count
S07,A07,edge,4,F001-F056,0.016483517363667488,6
S07,A07,edge,5,F001-F028,0.01373626384884119,5
S07,A07,edge,6,F010-F045,0.01373626384884119,5
S07,A07,edge,7,F036-F054,0.01373626384884119,5
S07,A07,edge,8,F011-F029,0.010989011265337467,4
S07,A07,edge,9,F041-F045,0.010989011265337467,4
S07,A07,edge,10,F008-F043,0.010989011265337467,4
S07,A07,activation,1,D188,2.97265625,6
S07,A07,activation,2,D204,2.546875,0
S07,A07,activation,3,D430,2.4140625,6
S07,A07,activation,4,D023,2.33203125,0
S07,A07,activation,5,D173,2.248046875,0
S07,A07,activation,6,D455,2.24609375,12
S07,A07,activation,7,D224,2.19140625,4
S07,A07,activation,8,D081,2.09765625,0
S07,A07,activation,9,D226,1.958984375,0
S07,A07,activation,10,D404,1.94921875,0
S08,A08,node,1,F010,0.13265305757522583,26
S08,A08,node,2,F042,0.11224489659070969,22
S08,A08,node,3,F029,0.08673469722270966,17
S08,A08,node,4,F021,0.0714285746216774,14
S08,A08,node,5,F035,0.06632652878761292,13
S08,A08,node,6,F028,0.06632652878761292,13
S08,A08,node,7,F054,0.051020409911870956,10
S08,A08,node,8,F052,0.04591836780309677,9
S08,A08,node,9,F045,0.040816325694322586,8
S08,A08,node,10,F000,0.030612245202064514,6
S08,A08,edge,1,F010-F042,0.021978022530674934,8
S08,A08,edge,2,F028-F029,0.016483517363667488,6
S08,A08,edge,3,F029-F040,0.016483517363667488,6
S08,A08,edge,4,F021-F054,0.01373626384884119,5
S08,A08,edge,5,F035-F060,0.01373626384884119,5
S08,A08,edge,6,F035-F042,0.01373626384884119,5
S08,A08,edge,7,F010-F013,0.01373626384884119,5
S08,A08,edge,8,F029-F036,0.010989011265337467,4
S08,A08,edge,9,F042-F045,0.010989011265337467,4
S08,A08,edge,10,F029-F033,0.010989011265337467,4
S08,A08,activation,1,D475,2.494140625,0
S08,A08,activation,2,D444,2.45703125,0
S08,A08,activation,3,D218,2.41796875,0
S08,A08,activation,4,D460,2.318359375,0
S08,A08,activation,5,D466,2.26171875,1
S08,A08,activation,6,D077,2.248046875,0
S08,A08,activation,7,D075,2.15625,0
S08,A08,activation,8,D148,2.15625,10
S08,A08,activation,9,D119,2.115234375,22
S08,A08,activation,10,D481,2.08984375,0
S09,A01,node,1,F058,0.09693877398967743,19
S09,A01,node,2,F057,0.09693877398967743,19
S09,A01,node,3,F054,0.08673469722270966,17
S09,A01,node,4,F007,0.06632652878761292,13
S09,A01,node,5,F027,0.06122449040412903,12
S09,A01,node,6,F021,0.05612244829535484,11
S09,A01,node,7,F001,0.051020409911870956,10
S09,A01,node,8,F022,0.04591836780309677,9
S09,A01,node,9,F028,0.04591836780309677,9
S09,A01,node,10,F036,0.040816325694322586,8
S09,A01,edge,1,F001-F013,0.02747252769768238,10
S09,A01,edge,2,F007-F057,0.016483517363667488,6
S09,A01,edge,3,F012-F028,0.01373626384884119,5
S09,A01,edge,4,F022-F054,0.01373626384884119,5
S09,A01,edge,5,F001-F028,0.01373626384884119,5
S09,A01,edge,6,F027-F036,0.01373626384884119,5
