source,target,relation,score,support,q_value
707,747,specializes,0.334168,1816,0.0
722,758,specializes,0.652572,600,1.1199147182518182e-124
722,956,specializes,0.613449,621,1.5033930556811193e-251
727,758,specializes,0.292307,2480,0.0
728,860,specializes,0.521424,253,2.2823055937834802e-259
853,731,specializes,0.42403,2398,0.0
978,731,specializes,0.696545,1233,0.0
1015,731,specializes,0.764909,850,4.0111127975620506e-283
744,780,specializes,0.251944,3994,0.0
993,744,specializes,0.514295,1946,0.0
903,747,specializes,0.343792,1874,0.0
912,747,specializes,0.258555,2132,0.0
840,758,specializes,0.67012,520,4.245257047572052e-108
875,758,specializes,0.706549,514,4.195434439679448e-121
898,758,specializes,0.659737,1374,0.0
1013,758,specializes,0.452623,1800,0.0
923,772,specializes,0.481223,278,7.122359685483191e-280
958,775,specializes,0.762523,485,0.0
852,780,specializes,0.593975,1707,4.1661e-319
990,780,specializes,0.620898,1586,5.805420438815517e-305
993,780,specializes,0.633776,1936,0.0
785,810,specializes,0.661366,327,7.786111780313673e-114
820,789,specializes,0.569217,267,4.7274823166010806e-294
790,953,specializes,0.644457,580,3.5623529954875016e-304
791,870,specializes,0.373928,409,0.0
840,1013,specializes,0.565293,545,0.0
866,858,specializes,0.610997,339,1.0004754474551104e-183
983,873,specializes,0.9175,49,6.010160430533323e-60
883,971,specializes,0.484611,1241,0.0
900,975,specializes,0.544176,417,0.0
963,1007,specializes,0.622857,503,0.0
530,717,coactivates_with,976.580516,1403,0.0
331,964,coactivates_with,536.39643,3227,0.0
443,820,coactivates_with,528.137533,2359,0.0
363,820,coactivates_with,509.678612,2372,0.0
712,745,coactivates_with,503.344505,6940,0.0
194,230,coactivates_with,487.743121,3437,0.0
47,381,coactivates_with,480.512122,2781,0.0
194,363,coactivates_with,478.204024,2907,0.0
189,412,coactivates_with,467.81898,1374,0.0
230,820,coactivates_with,467.487748,2522,0.0
363,443,coactivates_with,452.389488,2778,0.0
194,443,coactivates_with,442.549444,2582,0.0
194,820,coactivates_with,442.360025,1956,0.0
155,564,coactivates_with,441.203499,1414,0.0
230,443,coactivates_with,426.646789,3037,0.0
530,773,coactivates_with,423.595583,762,0.0
363,926,coactivates_with,407.892579,1325,0.0
443,892,coactivates_with,394.973632,2059,0.0
451,820,coactivates_with,377.252793,1451,0.0
443,451,coactivates_with,376.354365,1910,0.0
363,451,coactivates_with,376.339063,1990,0.0
230,363,coactivates_with,370.377829,2747,0.0
451,926,coactivates_with,369.136429,991,0.0
572,812,coactivates_with,362.992367,3470,0.0
203,231,coactivates_with,361.637352,2033,0.0
177,381,coactivates_with,357.783718,5381,0.0
245,584,coactivates_with,356.519423,3682,0.0
137,835,coactivates_with,352.05911,1934,0.0
820,835,coactivates_with,348.134866,1274,0.0
35,999,coactivates_with,342.779797,4070,0.0
101,735,coactivates_with,341.468918,4366,0.0
574,603,coactivates_with,337.999162,4815,0.0
6,561,coactivates_with,336.288875,2905,0.0
194,451,coactivates_with,332.80343,1672,0.0
212,712,coactivates_with,331.976538,3029,0.0
25,905,coactivates_with,330.048721,3559,0.0
280,926,coactivates_with,323.442253,1672,0.0
280,363,coactivates_with,322.731243,3286,0.0
820,892,coactivates_with,321.958822,1272,0.0
245,472,coactivates_with,318.095927,2863,0.0
194,789,coactivates_with,316.877437,1968,0.0
212,745,coactivates_with,314.718,6059,0.0
170,1007,coactivates_with,313.945244,4458,0.0
47,825,coactivates_with,312.062152,3396,0.0
137,820,coactivates_with,311.714321,1584,0.0
201,211,coactivates_with,311.189816,13303,0.0
230,892,coactivates_with,310.343301,1954,0.0
203,446,coactivates_with,310.162253,3123,0.0
561,583,coactivates_with,309.568611,4145,0.0
280,820,coactivates_with,309.070869,2289,0.0
9,882,coactivates_with,308.006303,5122,0.0
443,835,coactivates_with,306.505553,1480,0.0
472,866,coactivates_with,306.316216,2056,0.0
290,524,coactivates_with,305.024449,1651,0.0
828,1011,coactivates_with,304.339381,5322,0.0
137,394,coactivates_with,304.110204,2742,0.0
194,892,coactivates_with,303.840559,1568,0.0
387,916,coactivates_with,303.5309,491,0.0
529,564,coactivates_with,301.583708,2481,0.0
194,835,coactivates_with,300.413194,1436,0.0
472,584,coactivates_with,298.627424,2597,0.0
572,975,coactivates_with,297.718778,3990,0.0
137,926,coactivates_with,296.314221,1051,0.0
280,451,coactivates_with,294.71922,2480,0.0
363,892,coactivates_with,294.205756,1598,0.0
280,789,coactivates_with,294.070159,3059,0.0
25,182,coactivates_with,293.020236,1740,0.0
584,858,coactivates_with,292.961017,9396,0.0
372,434,coactivates_with,291.813317,3040,0.0
230,835,coactivates_with,291.152401,1698,0.0
6,1003,coactivates_with,290.315944,2942,0.0
835,926,coactivates_with,287.357379,734,0.0
372,572,coactivates_with,287.357016,2360,0.0
94,1002,coactivates_with,287.122285,1393,0.0
230,280,coactivates_with,285.272557,3367,0.0
9,729,coactivates_with,284.9188,2530,0.0
397,866,coactivates_with,283.954572,3184,0.0
318,356,coactivates_with,283.672408,1237,0.0
729,882,coactivates_with,283.571013,6668,0.0
94,740,coactivates_with,283.186999,1722,0.0
583,814,coactivates_with,282.541069,5914,0.0
194,926,coactivates_with,282.534644,872,0.0
572,900,coactivates_with,282.3416,2371,0.0
820,926,coactivates_with,281.866189,666,0.0
290,433,coactivates_with,280.527509,1977,0.0
16,318,coactivates_with,280.382691,1270,0.0
532,773,coactivates_with,280.230265,787,0.0
170,878,coactivates_with,279.433681,1756,0.0
311,1002,coactivates_with,278.711709,1971,0.0
363,835,coactivates_with,278.469349,1401,0.0
290,789,coactivates_with,278.015796,1296,0.0
175,355,coactivates_with,275.86464,5467,0.0
280,443,coactivates_with,275.579668,2693,0.0
381,825,coactivates_with,274.507131,2355,0.0
812,975,coactivates_with,274.192361,5646,0.0
81,339,coactivates_with,273.298547,902,0.0
137,892,coactivates_with,272.143379,1614,0.0
331,709,coactivates_with,271.811338,4230,0.0
873,983,coactivates_with,271.716449,11410,0.0
194,280,coactivates_with,271.245524,2624,0.0
137,363,coactivates_with,270.535682,1890,0.0
13,765,coactivates_with,270.216776,3520,0.0
231,446,coactivates_with,269.84671,2616,0.0
137,451,coactivates_with,269.151677,1554,0.0
472,858,coactivates_with,267.82678,7486,0.0
47,177,coactivates_with,266.223563,5079,0.0
772,889,coactivates_with,264.408829,2453,0.0
6,930,coactivates_with,262.934694,3911,0.0
839,930,coactivates_with,261.154792,2196,0.0
231,462,coactivates_with,259.990158,1701,0.0
