city_key,archetype_id,n_images,city_prevalence,global_prevalence,prevalence_ratio
Taiwan/Taipei,A07,901,0.07110164141414141,0.11513972408914043,0.6175248549240484
Taiwan/Taipei,A08,1998,0.15767045454545456,0.11123547455506338,1.4174475829417628
Thailand/Bangkok,A01,2040,0.15959943670787044,0.14891583821254534,1.071742526675212
Thailand/Bangkok,A02,2581,0.20192458144265374,0.13735091785501216,1.4701363820211644
Thailand/Bangkok,A03,2561,0.20035988108277264,0.13343082958043176,1.5016011045782804
Thailand/Bangkok,A04,604,0.0472539508684087,0.12065952515455972,0.3916305058210564
Thailand/Bangkok,A05,1536,0.12016898763886716,0.11752873411506318,1.022464749098881
Thailand/Bangkok,A06,969,0.07580973243623847,0.11573895643818403,0.655006186069496
Thailand/Bangkok,A07,1174,0.09184791112501955,0.11513972408914043,0.7977082788031652
Thailand/Bangkok,A08,1317,0.1030355186981693,0.11123547455506338,0.9262829066923702
Turkey/Istanbul,A01,4549,0.35807619647355166,0.14891583821254534,2.4045541479776977
Turkey/Istanbul,A02,713,0.05612405541561713,0.13735091785501216,0.4086179859013521
Turkey/Istanbul,A03,1446,0.11382241813602015,0.13343082958043176,0.8530443713340499
Turkey/Istanbul,A04,1707,0.13436712846347607,0.12065952515455972,1.1136056460636448
Turkey/Istanbul,A05,897,0.07060768261964735,0.11752873411506318,0.6007695322449479
Turkey/Istanbul,A06,1201,0.09453715365239294,0.11573895643818403,0.8168135998606922
Turkey/Istanbul,A07,1116,0.0878463476070529,0.11513972408914043,0.7629543001079525
Turkey/Istanbul,A08,1075,0.08461901763224182,0.11123547455506338,0.760719707186164
UnitedKingdom/London,A01,1132,0.08980563268544228,0.14891583821254534,0.6030630036629419
UnitedKingdom/London,A02,1175,0.09321697738992463,0.13735091785501216,0.6786774988160226
UnitedKingdom/London,A03,2355,0.18683062276874257,0.13343082958043176,1.4002058096785013
UnitedKingdom/London,A04,3068,0.2433954779849266,0.12065952515455972,2.01720898265717
UnitedKingdom/London,A05,1888,0.1497818326061087,0.11752873411506318,1.2744273452266492
UnitedKingdom/London,A06,1121,0.08893296310987703,0.11573895643818403,0.7683926470978332
UnitedKingdom/London,A07,829,0.06576755255850852,0.11513972408914043,0.5711977606233598
UnitedKingdom/London,A08,1037,0.08226894089646966,0.11123547455506338,0.739592663451489
UnitedStates/LosAngeles,A01,203,0.015980477052664723,0.14891583821254534,0.10731213848359117
UnitedStates/LosAngeles,A02,660,0.051956230811619306,0.13735091785501216,0.37827363386435015
UnitedStates/LosAngeles,A03,1913,0.15059434779186018,0.13343082958043176,1.1286323278165808
UnitedStates/LosAngeles,A04,1893,0.14901991655514446,0.12065952515455972,1.2350447788042949
UnitedStates/LosAngeles,A05,1107,0.08714476895221601,0.11752873411506318,0.7414762832968097
UnitedStates/LosAngeles,A06,2427,0.19105723057545462,0.11573895643818403,1.6507599209044013
UnitedStates/LosAngeles,A07,2605,0.20506966858222467,0.11513972408914043,1.7810505471027624
UnitedStates/LosAngeles,A08,1895,0.14917735967881604,0.11123547455506338,1.3410951881629345
UnitedStates/NewYorkCity,A01,944,0.07643724696356276,0.14891583821254534,0.5132915872552456
UnitedStates/NewYorkCity,A02,1205,0.09757085020242914,0.13735091785501216,0.7103763973781747
UnitedStates/NewYorkCity,A03,1530,0.12388663967611337,0.13343082958043176,0.9284708793737568
UnitedStates/NewYorkCity,A04,3080,0.2493927125506073,0.12065952515455972,2.0669127632579842
UnitedStates/NewYorkCity,A05,904,0.07319838056680161,0.11752873411506318,0.6228126348671366
UnitedStates/NewYorkCity,A06,1994,0.1614574898785425,0.11573895643818403,1.395014218611662
UnitedStates/NewYorkCity,A07,1489,0.1205668016194332,0.11513972408914043,1.0471347102246933
UnitedStates/NewYorkCity,A08,1204,0.09748987854251012,0.11123547455506338,0.8764279465023637
