archetype_id,region_id,region_row,region_column,element_id,element_name,within_region_share,equal_weight_canvas_share
A05,R11,0,0,F004,highlighted_buildings,0.037390046152677194,0.004154449572519688
A05,R11,0,0,F005,palm_trees_and_buildings,4.492161287518022e-06,4.99129031946447e-07
A05,R11,0,0,F006,small alley entrance,5.390593545021627e-06,5.989548383357363e-07
A05,R11,0,0,F007,roof_and_eaves,0.13133906226215764,0.014593229140239736
A05,R11,0,0,F008,stone_wall_and_retaining_wall,0.0008283545064011635,9.203938960012928e-05
A05,R11,0,0,F009,highlighted road,0.037559849032654836,0.004173316559183871
A05,R11,0,0,F010,green_wall,0.06420731945857382,0.007134146606508202
A05,R11,0,0,F011,road_edge,0.00018777234219478195,2.0863593577197993e-05
A05,R11,0,0,F012,bamboo,0.0013440547099393962,0.00014933941221548848
A05,R11,0,0,F013,tree-lined_driveway,0.0032208795813997316,0.0003578755090444146
A05,R11,0,0,F014,road_edge,1.796864515007209e-06,1.9965161277857878e-07
A05,R11,0,0,F015,tree_shade_street,0.027010459057763496,0.0030011621175292775
A05,R11,0,0,F016,construction scaffolding,0.01618884915847362,0.00179876101760818
A05,R11,0,0,F017,building facade,0.002051121012189013,0.00022790233468766814
A05,R11,0,0,F018,small alley flowerbed,0.0,0.0
A05,R11,0,0,F019,road_and_building,0.00012937424018564725,1.4374915576183027e-05
A05,R11,0,0,F020,advertising_wall,0.0,0.0
A05,R11,0,0,F021,road_and_building,0.0009388617079616809,0.00010431796755129787
A05,R11,0,0,F022,tree_canopy_and_road,0.010157674880430822,0.0011286305422700913
A05,R11,0,0,F023,street_corner_cafe,0.0001653115338745488,1.83679482082832e-05
A05,R11,0,0,F024,road_edge,1.796864515007209e-06,1.9965161277857878e-07
A05,R11,0,0,F025,shaded alley,0.007786712930410368,0.000865190325601152
A05,R11,0,0,F026,tree_shadows,2.6952967725108134e-06,2.9947741916786815e-07
A05,R11,0,0,F027,car_top_heat,0.00055792641534248,6.199182392694221e-05
A05,R11,0,0,F028,red_car_street,4.492161287518022e-06,4.99129031946447e-07
A05,R11,0,0,F029,electric_bike_parking,3.144512901262616e-05,3.4939032236251286e-06
A05,R11,0,0,F030,stone_wall_and_shadows,0.0008319482410791069,9.24386934532341e-05
A05,R11,0,0,F031,road_edge,0.0,0.0
A05,R11,0,0,F032,tree-lined walk,0.0014922959431902128,0.0001658106603544681
A05,R11,0,0,F033,zebra_crossing,0.0,0.0
A05,R11,0,0,F034,red_door_street,0.00018597547579713174,2.066394175523686e-05
A05,R11,0,0,F035,small alley entrance,0.00011769462573297218,1.3077180636996909e-05
A05,R11,0,0,F036,pedestrian walk,0.009164906547595057,0.001018322949732784
A05,R11,0,0,F037,street_corner_shops,0.006251291726404557,0.0006945879696005063
A05,R11,0,0,F038,red-yellow hotspot,1.7070212892568484e-05,1.8966903213964984e-06
A05,R11,0,0,F039,red car corner,1.796864515007209e-06,1.9965161277857878e-07
A05,R11,0,0,F040,cobblestone,1.6171780635064882e-05,1.796864515007209e-06
A05,R11,0,0,F041,concrete_wall,0.0005489420920143867,6.09935657793763e-05
A05,R11,0,0,F042,Red-yellow glow street,0.02786307196859497,0.003095896885399441
A05,R11,0,0,F043,tree_shadows,0.04356136573201203,0.004840151748001337
A05,R11,0,0,F044,road_and_buildings,0.008075109101826223,0.0008972343446473582
A05,R11,0,0,F045,underpass glow,0.02130092608830147,0.00236676956536683
A05,R11,0,0,F046,window_heat_zone,0.0005246844338637618,5.829827042930687e-05
A05,R11,0,0,F047,underpass,0.0018768250616072785,0.00020853611795636426
A05,R11,0,0,F048,shaded path,0.003334980917888094,0.00037055343532089936
A05,R11,0,0,F049,red_wall_yellow_wall,0.0004662863277128125,5.180959196809028e-05
A05,R11,0,0,F050,greenery_and_water,0.0002937873455679785,3.264303839644205e-05
A05,R11,0,0,F051,zebra_crossing,0.004883877620004584,0.0005426530688893982
A05,R11,0,0,F052,palm_tree_street,0.004873995171289796,0.0005415550190321995
A05,R11,0,0,F053,road_marking,0.01082341076781002,0.0012026011964233357
A05,R11,0,0,F054,highlighted_lane,0.005337586333638579,0.0005930651481820643
A05,R11,0,0,F055,small alley entrance,0.0020214726897059897,0.00022460807663399887
A05,R11,0,0,F056,stone_wall_street,1.8867077407575694e-05,2.096341934175077e-06
A05,R11,0,0,F057,streetlight illumination,0.38127140073269444,0.04236348897029938
A05,R11,0,0,F058,shaded alley,0.08345983887740498,0.009273315430822776
A05,R11,0,0,F059,road_edge,2.425767095259732e-05,2.6952967725108134e-06
A05,R11,0,0,F060,street_corner_shop,0.000477067511790627,5.3007501310069664e-05
A05,R11,0,0,F061,sunlit street,0.022995367215133938,0.0025550408016815486
