image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,PC1,PC2
292000,SouthKorea/Seoul,A06,5,0.1553858,0.002436726,0.0436368
292002,SouthKorea/Seoul,A02,0,0.16349904,-0.0945745,-0.02017475
292012,SouthKorea/Seoul,A02,0,0.13380001,-0.043614928,-0.04111369
292033,SouthKorea/Seoul,A02,0,0.13483705,0.009117821,-0.090311974
292047,SouthKorea/Seoul,A03,7,0.20349976,-0.041826908,-0.041358367
292055,SouthKorea/Seoul,A03,7,0.13889132,-0.041771296,-0.034821175
292063,SouthKorea/Seoul,A02,0,0.14116925,0.019459482,-0.08620981
292077,SouthKorea/Seoul,A05,3,0.23093362,-0.10414476,0.047370505
292081,SouthKorea/Seoul,A02,0,0.14277643,0.035510153,-0.11142052
292083,SouthKorea/Seoul,A01,6,0.1566054,-0.04355648,-0.05701543
292096,SouthKorea/Seoul,A05,3,0.17398146,-0.108642206,-0.020700088
292099,SouthKorea/Seoul,A02,0,0.16692477,-0.034748387,-0.04889681
292134,SouthKorea/Seoul,A07,4,0.14894696,0.09230524,0.0600137
292157,SouthKorea/Seoul,A05,3,0.16184713,-0.08860823,0.02670515
292158,SouthKorea/Seoul,A05,3,0.19036844,-0.057359394,0.026150703
292170,SouthKorea/Seoul,A05,3,0.16921403,-0.1323593,0.026015285
292184,SouthKorea/Seoul,A04,1,0.13290471,0.054117795,-0.02679988
292205,SouthKorea/Seoul,A06,5,0.14912114,-0.05594392,0.006807895
292230,SouthKorea/Seoul,A01,6,0.14756021,-0.05515233,-0.0027775152
292250,SouthKorea/Seoul,A07,4,0.1371281,0.050268173,0.048795026
292263,SouthKorea/Seoul,A03,7,0.15339874,-0.015686592,-0.06575518
292294,SouthKorea/Seoul,A08,2,0.13335979,0.029094622,0.03585674
292306,SouthKorea/Seoul,A02,0,0.13429248,-0.058044385,-0.072132185
292315,SouthKorea/Seoul,A03,7,0.16740237,-0.045694597,-0.04272227
292327,SouthKorea/Seoul,A08,2,0.124866545,0.023485653,-0.008454069
292332,SouthKorea/Seoul,A07,4,0.15610562,-0.0077991537,0.078968145
292335,SouthKorea/Seoul,A03,7,0.21291733,-0.06932938,-0.07360648
292339,SouthKorea/Seoul,A01,6,0.13168958,0.007129688,-0.019682989
292345,SouthKorea/Seoul,A05,3,0.19994119,-0.112581745,-0.03320744
292360,SouthKorea/Seoul,A08,2,0.11967326,0.04056774,0.019904427
292375,SouthKorea/Seoul,A05,3,0.13505019,-0.06458475,-0.016449291
292381,SouthKorea/Seoul,A02,0,0.18046601,-0.10183907,-0.049163338
292384,SouthKorea/Seoul,A02,0,0.16942695,-0.10461671,-0.03783794
292399,SouthKorea/Seoul,A02,0,0.16084638,0.026863294,-0.06458721
292413,SouthKorea/Seoul,A02,0,0.13221017,-0.004373676,-0.025298268
292433,SouthKorea/Seoul,A03,7,0.17155159,-0.08689598,-0.013186082
292481,SouthKorea/Seoul,A04,1,0.17869107,0.07187434,-0.011327111
292488,SouthKorea/Seoul,A01,6,0.23954979,0.02925224,-0.00028823537
292494,SouthKorea/Seoul,A05,3,0.1265579,-0.023452027,0.007139239
292529,SouthKorea/Seoul,A05,3,0.1677425,-0.07139725,-0.0055272
292545,SouthKorea/Seoul,A01,6,0.20533895,-0.043146506,-0.040825393
292553,SouthKorea/Seoul,A05,3,0.14353593,-0.05480374,0.013429959
292555,SouthKorea/Seoul,A04,1,0.16372344,0.055440582,-0.03936426
292563,SouthKorea/Seoul,A01,6,0.12985384,0.013086048,-0.044149376
292586,SouthKorea/Seoul,A01,6,0.13675688,0.025116619,0.052414205
292588,SouthKorea/Seoul,A01,6,0.12705371,-0.029840989,-0.017902303
292634,SouthKorea/Seoul,A06,5,0.18881465,0.008032904,-0.03558652
292647,SouthKorea/Seoul,A01,6,0.16083655,0.015393416,-0.03461868
292671,SouthKorea/Seoul,A01,6,0.21962328,-0.051017873,0.0040249373
292703,SouthKorea/Seoul,A05,3,0.12620173,-0.088588685,0.002473701
292707,SouthKorea/Seoul,A05,3,0.17378803,-0.1048232,0.015063283
292738,SouthKorea/Seoul,A03,7,0.20405327,0.017099505,0.0020371547
292747,SouthKorea/Seoul,A05,3,0.11827406,-0.02669129,0.02362026
292760,SouthKorea/Seoul,A06,5,0.13672632,0.029016193,0.0412349
292781,SouthKorea/Seoul,A04,1,0.15374425,0.03732147,-0.007846407
292784,SouthKorea/Seoul,A04,1,0.1333365,0.093974814,-0.071561486
292821,SouthKorea/Seoul,A02,0,0.13833539,-0.020920537,-0.06397793
292872,SouthKorea/Seoul,A04,1,0.15510714,0.028141918,-0.022739714
292914,SouthKorea/Seoul,A01,6,0.14599867,-0.032256845,0.020372663
292934,SouthKorea/Seoul,A05,3,0.11932304,-0.04893651,0.0355938
292960,SouthKorea/Seoul,A05,3,0.15426636,-0.15956832,0.06935049
292970,SouthKorea/Seoul,A05,3,0.15102136,0.0036773607,-0.030217826
