image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,UMAP1,UMAP2
5548,Argentina/BuenosAires,A04,1,0.16757584,6.3152623,8.078459
5561,Argentina/BuenosAires,A02,0,0.12248487,9.083716,5.943235
5568,Argentina/BuenosAires,A04,1,0.13486591,8.654961,7.3677773
5576,Argentina/BuenosAires,A03,7,0.14246538,6.5429134,3.7866802
5590,Argentina/BuenosAires,A01,6,0.117210075,7.89917,6.080205
5598,Argentina/BuenosAires,A07,4,0.098590165,4.2821426,5.3673787
5626,Argentina/BuenosAires,A03,7,0.17159148,10.118583,3.8866904
5629,Argentina/BuenosAires,A03,7,0.16715254,7.7032156,4.736255
5661,Argentina/BuenosAires,A02,0,0.13437554,8.631382,5.3363547
5684,Argentina/BuenosAires,A02,0,0.16215685,9.462406,6.655876
5685,Argentina/BuenosAires,A06,5,0.15814975,7.129673,2.4939423
5699,Argentina/BuenosAires,A03,7,0.16754775,8.887886,3.8346524
5703,Argentina/BuenosAires,A03,7,0.19808653,9.646786,3.7621603
5707,Argentina/BuenosAires,A04,1,0.13850118,7.0597663,6.136258
5723,Argentina/BuenosAires,A04,1,0.13984406,8.195202,6.877207
5731,Argentina/BuenosAires,A04,1,0.12248884,7.9223127,8.294842
5764,Argentina/BuenosAires,A06,5,0.120031804,7.091147,4.064272
5786,Argentina/BuenosAires,A03,7,0.13100904,6.133301,3.9095294
5789,Argentina/BuenosAires,A07,4,0.22669399,4.1495895,4.2512712
5792,Argentina/BuenosAires,A01,6,0.16809914,8.550358,4.2501287
5793,Argentina/BuenosAires,A04,1,0.15235887,7.893017,5.8337026
5810,Argentina/BuenosAires,A04,1,0.13921936,6.2450833,6.5800314
5817,Argentina/BuenosAires,A04,1,0.15091853,7.5111594,6.7330627
5857,Argentina/BuenosAires,A06,5,0.16597627,6.677832,4.2626753
