family_id,seed_coverage,seed_11_activation_pct,seed_23_activation_pct,seed_37_activation_pct,seed_53_activation_pct,seed_71_activation_pct,mean_activation_pct,range_pp,coefficient_of_variation
stable_0315,5,0.656000,0.432400,0.552400,0.529200,0.553600,0.544720,0.223600,0.130788
stable_0530,5,0.432400,0.639200,0.646800,0.608000,0.656000,0.596480,0.223600,0.140175
stable_0720,5,1.217200,1.147200,1.218000,0.993600,1.203600,1.155920,0.224400,0.073719
stable_0195,5,0.278400,0.489200,0.270000,0.264400,0.454400,0.351280,0.224800,0.282162
stable_0428,5,0.817200,0.738000,0.720000,0.592000,0.698800,0.713200,0.225200,0.101834
stable_0020,5,1.304800,1.420400,1.531200,1.337200,1.381600,1.395040,0.226400,0.056308
stable_0634,5,0.307600,0.318000,0.330800,0.340000,0.534000,0.366080,0.226400,0.231316
stable_0167,5,1.581600,1.695200,1.684000,1.808800,1.641200,1.682160,0.227200,0.044487
stable_0253,5,0.918000,0.926800,0.882800,1.110000,1.070000,0.981520,0.227200,0.092383
stable_0114,5,0.363600,0.463600,0.416800,0.592000,0.549200,0.477040,0.228400,0.175639
stable_0244,5,0.242800,0.449200,0.473600,0.396800,0.423200,0.397120,0.230800,0.204749
stable_0533,5,0.979600,0.852000,1.068800,1.083200,0.928400,0.982400,0.231200,0.088217
stable_0023,5,0.634000,0.470800,0.683600,0.571600,0.702800,0.612560,0.232000,0.137408
stable_0604,5,0.684400,0.518800,0.517200,0.706000,0.749200,0.635120,0.232000,0.154112
stable_0520,5,1.473200,1.347600,1.580000,1.489600,1.486400,1.475360,0.232400,0.050360
stable_0578,5,1.679600,1.566400,1.500800,1.572000,1.446800,1.553120,0.232800,0.050346
stable_0293,5,0.282400,0.515200,0.289600,0.283200,0.292800,0.332640,0.232800,0.274661
stable_0497,5,0.720400,0.902000,0.669200,0.717200,0.792400,0.760240,0.232800,0.106632
stable_0593,5,0.183600,0.216400,0.192800,0.416400,0.273200,0.256480,0.232800,0.334614
stable_0679,5,0.509600,0.564000,0.368400,0.329200,0.516800,0.457600,0.234800,0.200223
stable_0384,5,1.237200,0.999200,1.230000,1.081600,1.176800,1.144960,0.238000,0.080061
stable_0723,5,0.331600,0.265600,0.381200,0.410400,0.504400,0.378640,0.238800,0.210693
stable_0331,5,0.724400,0.583600,0.677600,0.823200,0.807200,0.723200,0.239600,0.121532
stable_0683,5,0.527600,0.587600,0.738400,0.498000,0.598400,0.590000,0.240400,0.140702
stable_0618,5,0.989200,0.920800,0.925200,1.162400,1.056400,1.010800,0.241600,0.089538
stable_0085,5,0.525600,0.297600,0.332400,0.539600,0.494400,0.437920,0.242000,0.232966
stable_0420,5,0.754000,0.948800,0.891200,0.770400,0.996000,0.872080,0.242000,0.109854
stable_0512,5,0.761600,0.947600,0.704000,0.931600,0.722000,0.813360,0.243600,0.128932
stable_0104,5,0.268800,0.272400,0.306800,0.278800,0.513200,0.328000,0.244400,0.285237
stable_0112,5,0.790800,0.928800,0.706400,0.838000,0.683200,0.789440,0.245600,0.113248
stable_0586,5,0.390400,0.580400,0.583200,0.636800,0.570800,0.552320,0.246400,0.152427
stable_0015,5,0.204400,0.232800,0.452400,0.264000,0.267200,0.284160,0.248000,0.306785
stable_0130,5,1.121600,1.033200,0.873200,0.924800,0.983600,0.987280,0.248400,0.087228
stable_0344,5,1.236400,1.366400,1.402000,1.304000,1.486400,1.359040,0.250000,0.062601
stable_0353,5,1.749600,1.930400,2.000000,1.852000,1.894800,1.885360,0.250400,0.044252
stable_0653,5,0.694800,0.869600,0.947200,0.713200,0.860800,0.817120,0.252400,0.119087
stable_0868,4,0.000000,0.249200,0.245600,0.238400,0.252800,0.197200,0.252800,0.500583
stable_0588,5,0.692800,0.786000,0.607600,0.783200,0.861200,0.746160,0.253600,0.117203
stable_0516,5,0.442400,0.328800,0.556400,0.570000,0.582800,0.496080,0.254000,0.196450
stable_0523,5,1.292800,1.188400,1.416000,1.443200,1.354000,1.338880,0.254800,0.068312
stable_0441,5,1.255600,1.168400,1.323200,1.190800,1.427200,1.273040,0.258800,0.073938
stable_0825,4,0.238400,0.233600,0.258400,0.260400,0.000000,0.198160,0.260400,0.502850
stable_0324,5,1.320000,1.131600,1.058800,1.259200,1.253200,1.204560,0.261200,0.078973
stable_0175,5,1.943600,1.789200,1.843600,1.712000,1.680400,1.793760,0.263200,0.052589
stable_0134,5,0.750000,0.789600,0.805600,1.015200,0.873200,0.846720,0.265200,0.110026
stable_0018,5,0.806800,0.948000,0.744000,0.771600,0.681600,0.790400,0.266400,0.112381
stable_0177,5,0.569200,0.535600,0.785200,0.746000,0.803200,0.687840,0.267600,0.163737
stable_0354,5,1.226800,0.980800,1.150800,1.250000,1.240400,1.169760,0.269200,0.086124
stable_0600,5,0.898400,0.956000,0.723200,0.702800,0.686400,0.793360,0.269600,0.140415
stable_0652,5,0.582800,0.586400,0.717600,0.748400,0.852400,0.697520,0.269600,0.146889
stable_0186,5,0.764000,0.706800,0.748400,0.493200,0.722400,0.686960,0.270800,0.143963
stable_0154,5,1.212000,1.366800,1.219200,1.093200,1.151600,1.208560,0.273600,0.075580
stable_0036,5,0.513200,0.511600,0.576000,0.411600,0.302000,0.462880,0.274000,0.207698
stable_0193,5,2.009600,2.284000,2.013200,2.116800,2.284800,2.141680,0.275200,0.057304
stable_0059,5,1.150400,0.963600,1.093600,0.990800,1.240400,1.087760,0.276800,0.093819
stable_0170,5,1.785200,1.861200,2.062400,2.021600,1.982800,1.942640,0.277200,0.053302
stable_0736,5,1.430400,1.500800,1.332800,1.572800,1.295600,1.426480,0.277200,0.072076
stable_0136,5,1.410800,1.432400,1.635200,1.384000,1.357600,1.444000,0.277600,0.068457
stable_0080,5,0.818800,0.936800,0.788400,0.877200,0.658000,0.815840,0.278800,0.115077
stable_0614,5,1.083200,0.830400,0.803600,0.980400,0.947200,0.928960,0.279600,0.109988
stable_0710,5,1.218800,1.199600,1.261200,1.480800,1.466800,1.325440,0.281200,0.092682
stable_0070,5,1.194000,1.140400,1.423600,1.232400,1.348400,1.267760,0.283200,0.081746
stable_0638,5,0.835200,0.830400,0.571200,0.832800,0.855600,0.785040,0.284400,0.136674
stable_0802,4,0.191600,0.285200,0.000000,0.202400,0.259600,0.187760,0.285200,0.533332
stable_0230,5,1.768000,1.607200,1.798400,1.894400,1.782000,1.770000,0.287200,0.052353
stable_0813,4,0.280400,0.288400,0.268000,0.209600,0.000000,0.209280,0.288400,0.517135
stable_0408,5,1.715200,1.832800,1.634000,1.774000,1.924800,1.776160,0.290800,0.055867
stable_0748,4,0.290000,0.290800,0.214400,0.000000,0.180800,0.195200,0.290800,0.546047
stable_0391,5,0.328800,0.365200,0.533200,0.432000,0.621200,0.456080,0.292400,0.236661
stable_0300,5,1.200400,1.063200,1.068000,1.002000,0.907600,1.048240,0.292800,0.091188
stable_0747,4,0.233200,0.294400,0.242800,0.000000,0.260800,0.206240,0.294400,0.510142
stable_0612,5,1.052000,1.163200,0.868800,0.973600,1.063200,1.024160,0.294400,0.095991
stable_0160,5,1.031200,0.811600,1.108000,0.946000,0.975200,0.974400,0.296400,0.100958
stable_0232,5,0.507200,0.697600,0.520800,0.584000,0.804000,0.622720,0.296800,0.181258
stable_0805,4,0.207200,0.210000,0.200800,0.299200,0.000000,0.183440,0.299200,0.537573
stable_0137,5,0.842800,0.722400,1.022800,1.022800,0.970400,0.916240,0.300400,0.127850
stable_0405,5,0.702000,0.757200,0.585600,0.455600,0.627600,0.625600,0.301600,0.165593
stable_0540,5,2.255200,2.137200,2.290400,1.988000,2.200400,2.174240,0.302400,0.049016
stable_0319,5,1.481600,1.345600,1.578800,1.650000,1.648400,1.540880,0.304400,0.074874
stable_0183,5,0.695200,0.780000,0.658800,0.882800,0.964800,0.796320,0.306000,0.143475
stable_0095,5,0.666000,0.442000,0.519200,0.358400,0.359600,0.469040,0.307600,0.245429
stable_0178,5,2.333600,2.452400,2.417200,2.424400,2.641600,2.453840,0.308000,0.041529
stable_0821,4,0.278800,0.302400,0.308400,0.000000,0.279600,0.233840,0.308400,0.502571
stable_0042,5,1.768000,1.912000,1.718800,1.602400,1.862800,1.772800,0.309600,0.061509
stable_0262,5,0.598800,0.577600,0.288800,0.344400,0.328800,0.427680,0.310000,0.309771
stable_0267,5,1.587200,1.540400,1.478000,1.318000,1.277200,1.440160,0.310000,0.084804
stable_0454,5,0.796800,0.984000,0.780400,0.673600,0.789200,0.804800,0.310400,0.124538
stable_0698,5,0.647200,0.638000,0.753200,0.441200,0.499600,0.595840,0.312000,0.187419
stable_0764,4,0.312400,0.000000,0.224400,0.275600,0.262800,0.215040,0.312400,0.516821
stable_0466,5,0.965200,0.778800,0.814800,0.861600,1.093600,0.902800,0.314800,0.126406
stable_0488,5,0.630800,0.626000,0.643200,0.659600,0.344000,0.580720,0.315600,0.204796
stable_0242,5,1.657200,1.451200,1.480000,1.456400,1.339200,1.476800,0.318000,0.069426
stable_0808,4,0.262400,0.300000,0.000000,0.320400,0.278800,0.232320,0.320400,0.507031
stable_0434,5,1.084400,0.945600,1.266400,1.200000,1.253200,1.149920,0.320800,0.104920
stable_0854,4,0.000000,0.293200,0.262800,0.300800,0.321200,0.235600,0.321200,0.506299
stable_0836,4,0.322000,0.000000,0.242000,0.257200,0.298800,0.224000,0.322000,0.516011
stable_0694,5,1.970000,1.730400,1.900000,1.706000,2.028000,1.866880,0.322000,0.068680
stable_0826,4,0.164000,0.000000,0.190000,0.322400,0.159600,0.167200,0.322400,0.613618
stable_0091,5,1.104800,0.912400,1.235600,1.198800,1.085600,1.107440,0.323200,0.101598
stable_0414,5,1.604000,1.421200,1.747200,1.677200,1.644400,1.618800,0.326000,0.067567
stable_0313,5,0.708400,0.730800,0.782800,1.034800,0.842800,0.819920,0.326400,0.142706
stable_0423,5,0.994800,0.732400,1.023600,1.060000,1.020000,0.966160,0.327600,0.122875
stable_0780,4,0.306800,0.328400,0.322400,0.316800,0.000000,0.254880,0.328400,0.500778
stable_0635,5,1.996400,1.756000,1.968000,1.667600,1.963200,1.870240,0.328800,0.071027
stable_0287,5,0.996400,0.823200,0.941200,0.667600,0.932400,0.872160,0.328800,0.133784
stable_0473,5,1.509600,1.344800,1.676400,1.636400,1.606000,1.554640,0.331600,0.076222
stable_0700,5,1.144000,1.308400,1.234000,1.476400,1.250000,1.282560,0.332400,0.086020
stable_0775,4,0.182000,0.179600,0.332800,0.193600,0.000000,0.177600,0.332800,0.595401
stable_0118,5,0.555600,0.819200,0.890800,0.773600,0.815200,0.770880,0.335200,0.147943
stable_0872,4,0.000000,0.336400,0.318000,0.200000,0.302000,0.231280,0.336400,0.540179
stable_0791,4,0.336800,0.000000,0.334400,0.331600,0.313200,0.263200,0.336800,0.500999
stable_0239,5,0.959600,0.724000,1.061600,0.957200,0.879200,0.916320,0.337600,0.122516
stable_0210,5,0.774800,0.436800,0.767200,0.763600,0.739600,0.696400,0.338000,0.187152
stable_0863,4,0.000000,0.339600,0.312800,0.330000,0.338400,0.264160,0.339600,0.501312
stable_0096,5,0.832400,1.084000,0.800000,0.743600,0.838800,0.859760,0.340400,0.136175
