city_a,city_b,composition_similarity,cooccurrence_similarity,pattern
KualaLumpur,CapeTown,0.9153121620905159,0.4010633284911739,low_composition_high_cooccurrence
KualaLumpur,Johannesburg,0.9543173866985749,0.4837380771968437,high_both
KualaLumpur,Seoul,0.9367342355264738,0.35559143940521976,low_both
KualaLumpur,Taipei,0.9596476006442752,0.4484827178281065,high_both
KualaLumpur,Bangkok,0.96948543945624,0.48426350916601635,high_both
KualaLumpur,Istanbul,0.9136795059433895,0.3373369564003057,low_both
KualaLumpur,London,0.9595481212757347,0.29023696436985547,high_composition_low_cooccurrence
KualaLumpur,LosAngeles,0.914937531163273,0.31513243676486336,low_both
KualaLumpur,NewYorkCity,0.9425009377919311,0.2895115314781491,high_composition_low_cooccurrence
MexicoCity,Amsterdam,0.8744780959678924,0.3518674835106618,low_both
MexicoCity,Lagos,0.9036344026685016,0.4086830157422494,low_composition_high_cooccurrence
MexicoCity,Lima,0.9744016320785591,0.4879898113670992,high_both
MexicoCity,Manila,0.9703833286456077,0.551614412724606,high_both
MexicoCity,Moscow,0.9353875189964064,0.3733641829459755,low_composition_high_cooccurrence
MexicoCity,Singapore,0.9148643576427531,0.2960635528785849,low_both
MexicoCity,CapeTown,0.9708001319583416,0.44584781308096666,high_both
MexicoCity,Johannesburg,0.9628567419560782,0.4347281439862914,high_both
MexicoCity,Seoul,0.9436955791789051,0.46348394452308955,high_both
MexicoCity,Taipei,0.9421044691728598,0.43258835744323376,high_both
MexicoCity,Bangkok,0.9658121971481479,0.4220639756925713,high_both
MexicoCity,Istanbul,0.9610692902792505,0.5221508293836492,high_both
MexicoCity,London,0.9326398845463086,0.3706833014914778,low_composition_high_cooccurrence
MexicoCity,LosAngeles,0.959728760530164,0.3992980013600911,high_both
MexicoCity,NewYorkCity,0.941839907268721,0.3706020702211817,high_both
Amsterdam,Lagos,0.9063764049075568,0.29503058730259135,low_both
Amsterdam,Lima,0.8681247151903303,0.3257034942634054,low_both
Amsterdam,Manila,0.9177964299125607,0.4290194464624543,low_composition_high_cooccurrence
Amsterdam,Moscow,0.9457917528556998,0.3185814261363281,high_composition_low_cooccurrence
Amsterdam,Singapore,0.9401313471194979,0.3780012277337892,low_composition_high_cooccurrence
Amsterdam,CapeTown,0.8585776873761832,0.30753806892427005,low_both
Amsterdam,Johannesburg,0.8961159350730397,0.3296096288586625,low_both
Amsterdam,Seoul,0.9189476431403507,0.44816708784950926,low_composition_high_cooccurrence
Amsterdam,Taipei,0.9250754884305188,0.4819819280278076,low_composition_high_cooccurrence
Amsterdam,Bangkok,0.9178170186766164,0.3826887032372458,low_composition_high_cooccurrence
Amsterdam,Istanbul,0.9192517408321955,0.4912159992505538,low_composition_high_cooccurrence
Amsterdam,London,0.9640494277640009,0.4827251211832693,high_both
Amsterdam,LosAngeles,0.8551291916501514,0.2406439878024475,low_both
Amsterdam,NewYorkCity,0.9035598923869554,0.35069762035587876,low_both
Lagos,Lima,0.9133810028617225,0.32910781436798026,low_both
Lagos,Manila,0.9167050255970044,0.2980860222283315,low_both
Lagos,Moscow,0.8977241516136619,0.3924553068495411,low_composition_high_cooccurrence
Lagos,Singapore,0.8965622619873357,0.2589396593613235,low_both
Lagos,CapeTown,0.8891608147071761,0.4112256501502153,low_composition_high_cooccurrence
Lagos,Johannesburg,0.9375555720595358,0.41431392292831126,low_composition_high_cooccurrence
Lagos,Seoul,0.8644953168070602,0.32831144785541805,low_both
Lagos,Taipei,0.8829248373062024,0.29731051942957926,low_both
Lagos,Bangkok,0.9166914771155898,0.3302539116506387,low_both
Lagos,Istanbul,0.8739138873538812,0.2621041957833089,low_both
Lagos,London,0.9207073414803711,0.23981560997579318,low_both
Lagos,LosAngeles,0.8626188466298662,0.23950042669841248,low_both
Lagos,NewYorkCity,0.8580446427478406,0.1687866627722786,low_both
Lima,Manila,0.9480914490013533,0.3982608374329334,high_both
Lima,Moscow,0.9082658852200916,0.2472960070075518,low_both
Lima,Singapore,0.9034671874734185,0.24637169852632468,low_both
Lima,CapeTown,0.9590542675212647,0.3378931457755992,high_composition_low_cooccurrence
Lima,Johannesburg,0.950517276104109,0.24382609064033522,high_composition_low_cooccurrence
Lima,Seoul,0.9317055703071825,0.45063772244633415,low_composition_high_cooccurrence
Lima,Taipei,0.9281834072699526,0.4432590236950762,low_composition_high_cooccurrence
Lima,Bangkok,0.9463139270104575,0.345406574211362,high_composition_low_cooccurrence
Lima,Istanbul,0.9497077195503609,0.3893234013381756,high_both
Lima,London,0.917845858061154,0.19253862445666342,low_both
Lima,LosAngeles,0.9403665213867877,0.2503470062653705,low_both
Lima,NewYorkCity,0.9108206219681002,0.262107319419687,low_both
Manila,Moscow,0.9580314942579842,0.3425763821897642,high_composition_low_cooccurrence
Manila,Singapore,0.9456981504441303,0.3294930133097279,high_composition_low_cooccurrence
Manila,CapeTown,0.9388369392967711,0.39915841125335405,low_composition_high_cooccurrence
Manila,Johannesburg,0.9425433925572143,0.380722648792018,high_both
Manila,Seoul,0.957593080082928,0.47995985052959206,high_both
Manila,Taipei,0.9698271697035719,0.5668016796291466,high_both
Manila,Bangkok,0.9927968986424648,0.6083820283353893,high_both
Manila,Istanbul,0.959836708628372,0.44381674641992125,high_both
Manila,London,0.9445045937110265,0.31794152024515504,high_composition_low_cooccurrence
Manila,LosAngeles,0.9195569035124901,0.2983508932896574,low_both
Manila,NewYorkCity,0.9409293649732577,0.3420285874950769,low_both
Moscow,Singapore,0.9636662320518856,0.3711172662273061,high_both
Moscow,CapeTown,0.9076533348518927,0.4478005958001613,low_composition_high_cooccurrence
